osm_id,voltage,dist_to_vegetation_m,vegetation_risk
55824750,unknown,21909.4,0.0
55973899,unknown,0.0,1.0
55974125,unknown,0.0,1.0
56071267,unknown,129.3,0.569
56322272,unknown,466.2,0.0
56322274,unknown,416.2,0.0
56322282,unknown,413.3,0.0
56451573,unknown,60.9,0.695
56451575,unknown,0.0,1.0
56451579,unknown,0.0,1.0
56451580,unknown,0.5,0.997
56694941,unknown,0.0,1.0
57727003,unknown,0.0,1.0
57935107,unknown,0.0,1.0
57950229,unknown,0.0,1.0
58109932,unknown,45826.6,0.0
58536670,unknown,294.1,0.02
58536671,unknown,0.0,1.0
58536672,unknown,25.6,0.872
58796965,unknown,0.0,1.0
58796968,unknown,0.0,1.0
58908433,unknown,0.0,1.0
58908434,unknown,6546.5,0.0
58908435,unknown,6555.7,0.0
59073988,unknown,54048.4,0.0
59073998,unknown,54048.4,0.0
59076340,unknown,55064.0,0.0
59078327,unknown,9.0,0.955
59151612,unknown,1704.5,0.0
59151613,unknown,0.0,1.0
59171936,unknown,0.0,1.0
59853629,unknown,0.0,1.0
60080126,unknown,589.4,0.0
60080134,unknown,0.0,1.0
60085410,unknown,470.0,0.0
60085413,unknown,0.0,1.0
60121642,unknown,0.0,1.0
60143760,unknown,53737.7,0.0
60183031,unknown,0.0,1.0
60356211,unknown,0.0,1.0
60356718,unknown,0.0,1.0
60438993,unknown,781.5,0.0
60541804,unknown,0.3,0.998
60637030,unknown,218.3,0.272
60642658,unknown,0.0,1.0
60731287,unknown,53434.9,0.0
61112954,unknown,0.0,1.0
61112955,unknown,0.0,1.0
61318590,unknown,0.0,1.0
61318591,unknown,0.0,1.0
61325410,unknown,0.0,1.0
61485041,unknown,0.0,1.0
61485042,unknown,404.5,0.0
61506786,unknown,565.5,0.0
61506790,unknown,0.0,1.0
61506791,unknown,0.0,1.0
61506792,unknown,514.7,0.0
61506796,unknown,462.2,0.0
61506798,unknown,379.4,0.0
61506814,unknown,308.0,0.0
61981611,unknown,0.0,1.0
61981613,unknown,0.0,1.0
62053944,unknown,0.0,1.0
62215177,unknown,369.3,0.0
63528482,unknown,0.0,1.0
63528488,unknown,0.0,1.0
63564483,unknown,0.0,1.0
63566527,unknown,0.0,1.0
63597864,unknown,492.8,0.0
64796030,unknown,0.0,1.0
64796031,unknown,111.2,0.629
64981422,unknown,28.0,0.86
64981423,unknown,0.0,1.0
65066219,unknown,0.0,1.0
65066220,unknown,0.0,1.0
65168137,unknown,798.1,0.0
65168158,unknown,47.4,0.763
65168194,unknown,798.1,0.0
65387180,unknown,0.0,1.0
65440311,unknown,0.0,1.0
66359601,unknown,164.9,0.45
67550966,unknown,0.0,1.0
67677920,unknown,0.0,1.0
67677926,unknown,0.0,1.0
68016085,unknown,0.0,1.0
68016086,unknown,0.0,1.0
68016087,unknown,0.0,1.0
68016088,unknown,61.7,0.691
68016089,unknown,61.8,0.691
68016090,unknown,204.2,0.319
68016091,unknown,153.7,0.488
68016092,unknown,126.4,0.579
68016093,unknown,0.0,1.0
68016094,unknown,38.4,0.808
68532650,unknown,853.3,0.0
68532654,unknown,740.8,0.0
68532658,unknown,748.3,0.0
68532660,unknown,747.5,0.0
69747721,unknown,34.9,0.825
69747724,unknown,129.4,0.569
69747725,unknown,193.6,0.355
69747726,unknown,436.4,0.0
69747727,unknown,130.0,0.567
70876656,unknown,58632.9,0.0
72868962,unknown,0.0,1.0
72868963,unknown,0.0,1.0
73306291,unknown,0.0,1.0
73306295,unknown,0.0,1.0
73500874,unknown,0.0,1.0
73845866,unknown,0.0,1.0
74038451,unknown,12265.2,0.0
74679815,unknown,0.0,1.0
74681386,unknown,196.0,0.347
74681389,unknown,217.7,0.274
74681392,unknown,211.2,0.296
74681396,unknown,233.3,0.222
74681399,unknown,228.9,0.237
74766006,unknown,0.0,1.0
75018859,unknown,63852.5,0.0
75295753,unknown,89.7,0.552
75896776,unknown,3.1,0.984
76132004,unknown,0.0,1.0
76246114,unknown,51.2,0.744
76246121,unknown,0.0,1.0
76246122,unknown,217.6,0.275
76246123,unknown,0.0,1.0
76246130,unknown,269.2,0.103
76246131,unknown,169.1,0.436
76246134,unknown,142.1,0.526
76246135,unknown,0.0,1.0
76246136,unknown,160.4,0.465
76246137,unknown,0.0,1.0
76246138,unknown,61.9,0.691
76246141,unknown,195.9,0.347
76246143,unknown,68.0,0.66
76246147,unknown,0.0,1.0
76246148,unknown,0.0,1.0
76246149,unknown,166.4,0.445
76246152,unknown,184.4,0.385
76246153,unknown,0.0,1.0
76246154,unknown,0.0,1.0
76246169,unknown,40.5,0.797
76246172,unknown,89.1,0.554
76246175,unknown,0.0,1.0
76246183,unknown,58.3,0.709
76256444,unknown,0.0,1.0
76256448,unknown,229.6,0.235
76256450,unknown,218.3,0.272
76256452,unknown,0.0,1.0
76257286,unknown,4.3,0.979
77423597,unknown,0.0,1.0
77423598,unknown,0.0,1.0
77423603,unknown,0.0,1.0
77423605,unknown,0.0,1.0
77423606,unknown,0.0,1.0
77423607,unknown,0.0,1.0
77423608,unknown,0.0,1.0
77423609,unknown,0.0,1.0
77423610,unknown,0.0,1.0
77423613,unknown,0.0,1.0
77423614,unknown,0.0,1.0
77423615,unknown,0.0,1.0
77423617,unknown,82.7,0.587
77504707,unknown,0.0,1.0
77504717,unknown,0.0,1.0
77504718,unknown,18.0,0.91
77504721,unknown,6.6,0.967
77504723,unknown,0.0,1.0
77528516,unknown,395.2,0.0
77677318,unknown,0.0,1.0
77677323,unknown,268.8,0.104
77677326,unknown,0.0,1.0
77677331,unknown,0.0,1.0
77677336,unknown,255.8,0.147
77690264,unknown,284.0,0.053
